name,address,rating,price,review_count,station_idx,distance,lat_lon
Baduzzi,10-26 Jellicoe St,4.5,3,73,25,134.5118998978709,"-36.8409671759782,174.757016396741"
The Good Luck Coconut,39 Jellicoe St,4.5,-1,4,25,162.11101232235038,"-36.95409,174.84342"
Depot,86 Federal St,4.5,3,294,25,976.8900286956044,"-36.8489969,174.7625058"
Dr Rudi's Rooftop Brewing Co.,Level 3,4.0,2,42,25,662.9988832060787,"-36.8427136774233,174.763424696142"
Oyster And Chop,Market Square,4.0,3,54,25,599.078893481996,"-36.8430815674653,174.76261156734"
Giraffe,85-87 Custom St West,4.5,-1,17,25,658.9210867311792,"-36.8432620522554,174.763249609362"
Hello Beasty,95-97 Customs Street W,4.5,-1,13,25,583.3185811672031,"-36.8431763335408,174.762401189647"
Soul,Customs St West,4.5,4,56,25,625.338041840826,"-36.8431576105319,174.762892557178"
16 Tun,20 Jellicoe St,4.0,2,22,25,147.21178071485744,"-36.8411196586715,174.757386800179"
Swashbucklers,23B Westhaven Dr,4.0,2,30,25,434.15367359918474,"-36.8438017858805,174.751788238828"
Depot,86 Federal St,4.5,3,294,26,526.859136918671,"-36.8489969,174.7625058"
Odettes Eatery,90 Wellesley St West,4.5,2,45,26,229.10986074325137,"-36.84943,174.75905"
Federal Delicatessen,86 Federal St,4.5,2,201,26,526.859136918671,"-36.8489969,174.7625058"
Elliott Stables,39 Elliott St,4.5,2,72,26,658.2219474278858,"-36.8502509,174.7636168"
Baduzzi,10-26 Jellicoe St,4.5,3,73,26,808.6482326403257,"-36.8409671759782,174.757016396741"
The Brewers Co-Operative,128 Victoria St West,4.5,2,11,26,280.8871621910114,"-36.8478729852849,174.759786296195"
Giraffe,85-87 Custom St West,4.5,-1,17,26,805.7722342476859,"-36.8432620522554,174.763249609362"
Oyster And Chop,Market Square,4.0,3,54,26,780.0792201651035,"-36.8430815674653,174.76261156734"
Dr Rudi's Rooftop Brewing Co.,Level 3,4.0,2,42,26,859.6046748203444,"-36.8427136774233,174.763424696142"
Hello Beasty,95-97 Customs Street W,4.5,-1,13,26,759.6635803245645,"-36.8431763335408,174.762401189647"
Amano,66 - 68 Tyler St,4.5,3,67,27,99.73504977256134,"-36.844498,174.7703587"
Brew On Quay,102 Quay St,4.0,2,28,27,96.32703317301171,"-36.8444724,174.7706874"
King Made Noodles,48 fort St,5.0,-1,8,27,180.41006065805783,"-36.84611,174.76898"
The Shuckers Brothers,99 Quay St,4.5,-1,26,27,420.13563245659236,"-36.8430001224047,174.767044965976"
Mexico,23 Britomart Pl,3.5,2,74,27,43.86094670180103,"-36.8452698,174.7702693"
Depot,86 Federal St,4.5,3,294,27,839.2985991253676,"-36.8489969,174.7625058"
Mamak,50 Kitchener St,4.5,1,60,27,430.21244326721705,"-36.848316,174.76767"
Ostro Brasserie and Bar,"Seafarers Building, Britomart",4.5,3,44,27,115.5676717219202,"-36.8444457218739,174.770086939294"
Fukuko,43 Tyler St,4.5,2,14,27,141.89985576543054,"-36.8443505691605,174.769743309382"
Chargrill,101 Customs Street East,4.5,1,27,27,101.49177905153284,"-36.8456245,174.7696725"
