name,address,rating,price,popularity,verified,station_idx,distance,lat_lon
Oh Calcutta,151 Parnell Road,7.5,2,0.9493518618262774,False,23,428,"-36.853986,174.779393"
Woodpecker Hill,196 Parnell Rd,8.0,2,0.7247836547093253,False,23,479,"-36.854534,174.780112"
Parnell Kebab,126 Parnell Road,6.9,2,0.7514991561635965,False,23,368,"-36.853097,174.779192"
Ruben,105 Parnell Road,6.8,1,0.1034687062372078,False,23,353,"-36.852619,174.779095"
Burgerfuel,187 Parnell Road,7.7,2,0.9836439369456713,True,23,474,"-36.854652,174.779823"
Baduzzi,10-26 Jellicoe Street,7.9,2,0.9480053143739452,False,24,176,"-36.841088,174.756999"
North Park,63 Jellicoe Street,7.1,2,0.9621709935724801,False,24,133,"-36.840489,174.756563"
Thai Street,3/12 Jellicoe Street,7.6,2,0.9256346726991993,False,24,187,"-36.841172,174.757271"
Seafood Central,22 Jellicoe Street,7.1,3,0.9314517576932745,True,24,153,"-36.841131,174.756576"
Miss Clawdy,12 Jellicoe Street,7.7,1,0.3769255628568351,False,24,209,"-36.841105,174.757277"
Pescado Tapas Bar,Jellicoe Street,6.3,2,0.8976444396567201,False,24,126,"-36.840623,174.756551"
Williams Eatery,"G03 85 Daldy Street, Wynyard Quarter",6.9,1,0.9798376961470789,False,24,206,"-36.842444,174.755411"
Rushworth,34-47 Jellicoe Street,7.1,1,0.8926891450321376,False,24,247,"-36.841105,174.757277"
Vip Restaurant,22 Jellicoe Street,-1.0,2,0.6107041545477396,False,24,107,"-36.841055,174.756443"
Market Cafe,22 Jellicoe Street,-1.0,1,0.8437825415634314,False,24,123,"-36.840929,174.756594"
Baduzzi,10-26 Jellicoe Street,7.9,2,0.9480053143739452,False,25,134,"-36.841088,174.756999"
Seafood Central,22 Jellicoe Street,7.1,3,0.9314517576932745,True,25,81,"-36.841131,174.756576"
Williams Eatery,"G03 85 Daldy Street, Wynyard Quarter",6.9,1,0.9798376961470789,False,25,74,"-36.842444,174.755411"
Thai Street,3/12 Jellicoe Street,7.6,2,0.9256346726991993,False,25,145,"-36.841172,174.757271"
Miss Clawdy,12 Jellicoe Street,7.7,1,0.3769255628568351,False,25,158,"-36.841105,174.757277"
North Park,63 Jellicoe Street,7.1,2,0.9621709935724801,False,25,159,"-36.840489,174.756563"
Rushworth,34-47 Jellicoe Street,7.1,1,0.8926891450321376,False,25,193,"-36.841105,174.757277"
Pescado Tapas Bar,Jellicoe Street,6.3,2,0.8976444396567201,False,25,163,"-36.840623,174.756551"
